order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied,line_amount,category,gender,customer_region,loyalty_tier
O223293,C00070,P0007,5,9.06,2025-07-06,Delivered,Bank Transfer,West,0.2,36.24,Personal Care,Male,Central,Gold
O698994,C00301,P0024,3,45.59,2025-07-06,Delayed,PayPal,East,0.05,129.93,Storage,Female,Central,Gold
O532137,C00043,P0029,1,28.46,2025-07-06,Delayed,Credit Card,West,0.2,22.77,Cleaning,Female,East,Silver
O577109,C00416,P0005,4,49.91,2025-07-06,Delivered,Credit Card,East,0.05,189.66,Personal Care,Female,West,Gold
O641343,C00274,P0017,5,29.41,2025-07-06,Delivered,Credit Card,South,0.05,139.7,Personal Care,Female,South,Gold
O333120,C00006,P0027,1,45.44,2025-07-06,Delayed,Credit Card,Central,0.1,40.9,Outdoors,Male,Central,Bronze
O813745,C00399,P0010,5,22.25,2025-07-06,Delivered,Bank Transfer,Central,0.1,100.12,Cleaning,Male,North,Bronze
O544747,C00381,P0029,5,24.19,2025-07-06,Delivered,Credit Card,East,0.05,114.9,Cleaning,Male,South,Gold
O468789,C00366,P0015,5,33.07,2025-07-06,Delayed,PayPal,North,0.2,132.28,Storage,Female,North,Bronze
O627148,C00180,P0022,4,17.33,2025-07-06,Delayed,Bank Transfer,South,0.0,69.32,Cleaning,Other,West,Gold
O935520,C00434,P0004,3,30.3,2025-07-06,Delayed,PayPal,South,0.0,90.9,Kitchen,Male,West,Gold
O544861,C00495,P0011,2,40.78,2025-07-06,Delayed,Credit Card,North,0.1,73.4,Kitchen,Male,Central,Gold
O459284,C00365,P0021,2,35.38,2025-07-06,Delayed,PayPal,North,0.1,63.68,Kitchen,Male,West,Silver
O180874,C00066,P0029,4,43.89,2025-07-06,Cancelled,Bank Transfer,Central,0.2,140.45,Cleaning,Other,South,Gold
O241823,C00224,P0016,5,21.08,2025-07-06,Delayed,PayPal,East,0.05,100.13,Cleaning,Female,West,Gold
O756742,C00077,P0013,5,13.7,2025-07-06,Delayed,PayPal,East,0.1,61.65,Cleaning,Female,Central,Gold
O210583,C00384,P0026,4,38.54,2025-07-06,Delivered,Credit Card,West,0.0,154.16,Storage,Female,South,Bronze
O778545,C00195,P0001,2,27.55,2025-07-06,Cancelled,Credit Card,West,0.0,55.1,Storage,Female,Central,Silver
O250174,C00181,P0011,2,24.53,2025-07-06,Delayed,Bank Transfer,South,0.1,44.15,Kitchen,Other,South,Bronze
O779423,C00152,P0022,3,35.67,2025-07-06,Delivered,PayPal,West,0.1,96.31,Cleaning,Other,North,Silver
O158221,C00443,P0017,5,21.31,2025-07-06,Cancelled,Credit Card,South,0.0,106.55,Personal Care,Female,West,Silver
O415017,C00263,P0002,1,31.39,2025-07-06,Cancelled,Credit Card,Central,0.1,28.25,Cleaning,Male,Central,Gold
O411654,C00357,P0005,5,38.0,2025-07-06,Delivered,Credit Card,West,0.0,190.0,Personal Care,Male,Central,Silver
O545752,C00020,P0022,2,19.1,2025-07-06,Delivered,Credit Card,East,0.0,38.2,Cleaning,Female,East,Gold
O970556,C00465,P0011,3,29.38,2025-07-06,Cancelled,Bank Transfer,North,0.05,83.73,Kitchen,Female,Central,Gold
O493424,C00356,P0003,1,32.26,2025-07-06,Delivered,Bank Transfer,South,0.05,30.65,Cleaning,Female,South,Gold
O209171,C00415,P0030,5,38.84,2025-07-06,Cancelled,Bank Transfer,North,0.2,155.36,Cleaning,Female,South,Gold
O422815,C00272,P0017,1,44.92,2025-07-06,Delivered,Credit Card,North,0.2,35.94,Personal Care,Female,South,Silver
O112343,C00420,P0029,2,45.57,2025-07-06,Delayed,Credit Card,Central,0.0,91.14,Cleaning,Male,East,Bronze
O129237,C00342,P0022,4,15.33,2025-07-06,Delayed,PayPal,East,0.0,61.32,Cleaning,Other,East,Unknown
O418152,C00110,P0030,2,48.25,2025-07-06,Cancelled,Credit Card,West,0.1,86.85,Cleaning,Female,South,Gold
O359098,C00352,P0014,4,11.54,2025-07-06,Delivered,Credit Card,South,0.05,43.85,Outdoors,Other,West,Gold
O772183,C00045,P0026,2,30.96,2025-07-06,Delayed,PayPal,West,0.15,52.63,Storage,Female,West,Bronze
O399621,C00147,P0016,3,31.26,2025-07-06,Cancelled,Bank Transfer,Central,0.1,84.4,Cleaning,Male,East,Gold
O362898,C00452,P0025,1,37.16,2025-07-06,Delivered,Credit Card,East,0.0,37.16,Cleaning,Female,West,Bronze
O657302,C00338,P0016,1,28.45,2025-07-06,Delayed,Bank Transfer,North,0.1,25.6,Cleaning,Male,South,Gold
O691691,C00033,P0030,1,30.05,2025-07-06,Cancelled,Credit Card,Central,0.05,28.55,Cleaning,Other,North,Gold
O712157,C00372,P0015,3,17.09,2025-07-06,Cancelled,Credit Card,East,0.1,46.14,Storage,Unknown,Unknown,Unknown
O622429,C00056,P0016,1,45.87,2025-07-06,Delayed,Credit Card,Central,0.15,38.99,Cleaning,Male,South,Bronze
O429017,C00131,P0028,5,24.03,2025-07-06,Delivered,Bank Transfer,North,0.1,108.14,Outdoors,Male,Central,Gold
O773027,C00172,P0005,5,28.61,2025-07-06,Delivered,PayPal,Central,0.1,128.74,Personal Care,Female,East,Bronze
O486175,C00441,P0026,1,48.56,2025-07-06,Delivered,Bank Transfer,Central,0.1,43.7,Storage,Female,South,Bronze
O914359,C00386,P0027,1,34.25,2025-07-06,Delayed,PayPal,South,0.1,30.82,Outdoors,Other,East,Gold
O251988,C00052,P0029,5,27.55,2025-07-06,Delayed,Credit Card,South,0.1,123.98,Cleaning,Female,East,Gold
O310886,C00256,P0029,4,40.76,2025-07-06,Delayed,Bank Transfer,East,0.2,130.43,Cleaning,Female,East,Gold
O536236,C00192,P0019,3,32.04,2025-07-06,Delivered,PayPal,Central,0.0,96.12,Kitchen,Female,West,Gold
O782603,C00259,P0016,4,43.95,2025-07-06,Delayed,Credit Card,South,0.1,158.22,Cleaning,Female,West,Gold
O673771,C00126,P0022,3,44.95,2025-07-06,Delivered,Credit Card,North,0.1,121.37,Cleaning,Female,West,Silver
O821870,C00371,P0011,5,39.49,2025-07-06,Delayed,Credit Card,East,0.1,177.7,Kitchen,Other,North,Silver
O521398,C00419,P0010,4,40.27,2025-07-06,Delivered,Bank Transfer,South,0.15,136.92,Cleaning,Female,South,Bronze
O198927,C00139,P0006,1,29.26,2025-07-06,Delayed,Credit Card,North,0.15,24.87,Cleaning,Other,Central,Bronze
O293081,C00449,P0025,3,26.26,2025-07-06,Delivered,Credit Card,South,0.1,70.9,Cleaning,Female,East,Silver
O911659,C00152,P0001,4,9.6,2025-07-06,Cancelled,Bank Transfer,North,0.05,36.48,Storage,Other,North,Silver
O312192,C00469,P0022,4,49.75,2025-07-06,Delivered,Credit Card,West,0.05,189.05,Cleaning,Female,North,Silver
O494631,C00239,P0030,2,29.19,2025-07-06,Delayed,PayPal,South,0.1,52.54,Cleaning,Female,South,Bronze
O301929,C00221,P0025,3,18.29,2025-07-06,Cancelled,Bank Transfer,Central,0.15,46.64,Cleaning,Female,West,Silver
O101648,C00238,P0011,1,19.39,2025-07-06,Delayed,Credit Card,South,0.0,19.39,Kitchen,Male,South,Silver
O753282,C00008,P0007,4,39.63,2025-07-06,Cancelled,Bank Transfer,East,0.05,150.59,Personal Care,Male,Central,Gold
O875628,C00479,P0011,3,12.08,2025-07-06,Delivered,Bank Transfer,North,0.2,28.99,Kitchen,Male,South,Gold
O384964,C00476,P0017,3,34.16,2025-07-06,Delayed,Credit Card,Central,0.15,87.11,Personal Care,Female,East,Bronze
O796756,C00040,P0027,2,38.66,2025-07-06,Delayed,Credit Card,South,0.05,73.45,Outdoors,Female,East,Gold
O291094,C00327,P0026,2,30.11,2025-07-06,Delivered,Credit Card,South,0.1,54.2,Storage,Male,East,Bronze
O532899,C00275,P0021,3,20.38,2025-07-06,Delivered,Bank Transfer,East,0.05,58.08,Kitchen,Other,West,Gold
O909075,C00073,P0002,3,47.54,2025-07-06,Cancelled,Credit Card,West,0.2,114.1,Cleaning,Female,North,Silver
O619650,C00318,P0029,2,26.67,2025-07-06,Delayed,Credit Card,East,0.05,50.67,Cleaning,Female,West,Gold
O542524,C00044,P0014,5,49.51,2025-07-06,Delayed,Credit Card,West,0.1,222.8,Outdoors,Female,Central,Gold
O612638,C00377,P0016,4,20.8,2025-07-06,Delayed,PayPal,North,0.1,74.88,Cleaning,Female,Central,Bronze
O136068,C00421,P0012,1,21.09,2025-07-06,Cancelled,Credit Card,East,0.0,21.09,Cleaning,Female,West,Gold
O637085,C00010,P0020,1,15.18,2025-07-06,Delayed,Credit Card,East,0.15,12.9,Cleaning,Male,East,Gold
O494343,C00445,P0012,5,44.15,2025-07-06,Delivered,Credit Card,South,0.05,209.71,Cleaning,Male,West,Silver
O267004,C00041,P0004,5,33.0,2025-07-06,Delivered,PayPal,East,0.0,165.0,Kitchen,Male,North,Bronze
O828103,C00008,P0005,4,46.14,2025-07-06,Cancelled,Credit Card,South,0.0,184.56,Personal Care,Male,Central,Gold
O948197,C00028,P0030,2,41.45,2025-07-06,Delayed,PayPal,East,0.1,74.61,Cleaning,Female,North,Gold
O537059,C00079,P0015,3,44.87,2025-07-06,Delivered,Credit Card,South,0.1,121.15,Storage,Female,North,Bronze
O536172,C00214,P0019,1,9.01,2025-07-06,Cancelled,Credit Card,East,0.1,8.11,Kitchen,Other,East,Gold
O619476,C00229,P0014,4,10.79,2025-07-06,Delayed,PayPal,West,0.1,38.84,Outdoors,Female,South,Bronze
O207553,C00281,P0006,1,44.98,2025-07-06,Delayed,Bank Transfer,East,0.05,42.73,Cleaning,Other,East,Bronze
O803247,C00311,P0029,5,30.1,2025-07-06,Delayed,PayPal,South,0.05,142.98,Cleaning,Male,North,Gold
O614893,C00064,P0011,4,22.73,2025-07-06,Delivered,PayPal,North,0.05,86.37,Kitchen,Female,Central,Gold
O658279,C00313,P0002,2,28.15,2025-07-06,Delivered,PayPal,West,0.1,50.67,Cleaning,Male,East,Bronze
O283531,C00208,P0012,4,34.66,2025-07-06,Delivered,Bank Transfer,East,0.1,124.78,Cleaning,Female,East,Silver
O391107,C00072,P0010,2,14.81,2025-07-06,Delayed,Credit Card,Central,0.1,26.66,Cleaning,Female,East,Gold
O621260,C00426,P0022,5,15.65,2025-07-06,Delivered,Credit Card,East,0.2,62.6,Cleaning,Male,East,Gold
O512253,C00308,P0018,3,40.41,2025-07-06,Delivered,Credit Card,East,0.2,96.98,Storage,Other,East,Bronze
O288567,C00177,P0029,1,21.22,2025-07-06,Cancelled,Bank Transfer,West,0.15,18.04,Cleaning,Female,West,Gold
O515824,C00383,P0024,2,32.18,2025-07-06,Delivered,PayPal,East,0.1,57.92,Storage,Female,North,Gold
O773319,C00481,P0018,3,35.97,2025-07-06,Cancelled,Credit Card,South,0.05,102.51,Storage,Female,North,Gold
O449151,C00450,P0016,5,22.62,2025-07-06,Cancelled,Credit Card,Central,0.15,96.14,Cleaning,Female,East,Gold
O822528,C00102,P0021,1,49.84,2025-07-06,Delayed,Bank Transfer,West,0.15,42.36,Kitchen,Male,East,Bronze
O634569,C00428,P0014,2,38.37,2025-07-06,Delayed,Credit Card,North,0.1,69.07,Outdoors,Female,North,Gold
O486184,C00353,P0020,1,41.22,2025-07-06,Delivered,PayPal,East,0.2,32.98,Cleaning,Other,West,Gold
O140042,C00475,P0002,1,42.6,2025-07-06,Delayed,Bank Transfer,Central,0.1,38.34,Cleaning,Female,North,Bronze
O652283,C00020,P0003,4,14.4,2025-07-06,Delayed,PayPal,Central,0.0,57.6,Cleaning,Female,East,Gold
O737500,C00443,P0014,5,38.44,2025-07-06,Cancelled,Credit Card,South,0.1,172.98,Outdoors,Female,West,Silver
O573673,C00260,P0019,4,16.07,2025-07-06,Delivered,Bank Transfer,Central,0.2,51.42,Kitchen,Other,East,Silver
O808829,C00313,P0002,1,21.72,2025-07-06,Cancelled,Credit Card,West,0.05,20.63,Cleaning,Male,East,Bronze
O209530,C00438,P0007,2,37.88,2025-07-06,Delayed,Bank Transfer,West,0.15,64.4,Personal Care,Other,Central,Gold
O960644,C00225,P0019,2,39.02,2025-07-06,Delayed,Credit Card,North,0.1,70.24,Kitchen,Female,South,Gold
O302611,C00394,P0009,2,32.58,2025-07-06,Delivered,Credit Card,Central,0.05,61.9,Outdoors,Male,Central,Gold
O570855,C00245,P0008,2,15.18,2025-07-06,Cancelled,Credit Card,West,0.2,24.29,Storage,Male,North,Gold
O725272,C00063,P0012,2,10.16,2025-07-06,Delayed,PayPal,West,0.1,18.29,Cleaning,Male,North,Gold
O766853,C00431,P0030,5,49.66,2025-07-06,Delivered,Credit Card,North,0.1,223.47,Cleaning,Female,Central,Gold
O386119,C00256,P0008,2,9.47,2025-07-06,Delivered,Credit Card,North,0.15,16.1,Storage,Female,East,Gold
O216896,C00413,P0001,5,49.41,2025-07-06,Delivered,Credit Card,South,0.1,222.34,Storage,Female,Central,Gold
O479932,C00382,P0027,4,48.65,2025-07-06,Delayed,Credit Card,West,0.15,165.41,Outdoors,Female,East,Gold
O927428,C00228,P0011,4,44.52,2025-07-06,Delivered,PayPal,East,0.1,160.27,Kitchen,Male,North,Silver
O741164,C00143,P0001,3,41.52,2025-07-06,Delivered,Bank Transfer,East,0.0,124.56,Storage,Other,Central,Gold
O372036,C00472,P0007,5,32.51,2025-07-06,Delayed,Credit Card,West,0.05,154.42,Personal Care,Male,South,Silver
O190070,C00018,P0002,5,16.79,2025-07-06,Delivered,PayPal,South,0.1,75.55,Cleaning,Female,North,Bronze
O229936,C00437,P0027,2,20.82,2025-07-06,Delayed,PayPal,North,0.2,33.31,Outdoors,Other,West,Silver
O967591,C00224,P0006,3,43.01,2025-07-06,Delivered,PayPal,West,0.0,129.03,Cleaning,Female,West,Gold
O863622,C00111,P0030,4,23.39,2025-07-06,Delayed,Bank Transfer,West,0.1,84.2,Cleaning,Other,East,Silver
O544736,C00369,P0013,5,21.96,2025-07-06,Delivered,Credit Card,Central,0.2,87.84,Cleaning,Other,West,Bronze
O515400,C00103,P0024,4,44.15,2025-07-06,Delivered,PayPal,East,0.15,150.11,Storage,Male,Central,Gold
O582151,C00493,P0025,1,30.19,2025-07-06,Delayed,Credit Card,South,0.1,27.17,Cleaning,Female,South,Gold
O291427,C00323,P0016,1,17.83,2025-07-06,Delayed,PayPal,North,0.1,16.05,Cleaning,Other,South,Bronze
O333267,C00304,P0017,2,33.89,2025-07-06,Delayed,Bank Transfer,Central,0.1,61.0,Personal Care,Male,East,Gold
O178453,C00473,P0008,5,32.92,2025-07-06,Delayed,PayPal,South,0.1,148.14,Storage,Male,North,Bronze
O187900,C00115,P0003,2,40.24,2025-07-06,Delayed,Credit Card,East,0.1,72.43,Cleaning,Male,South,Bronze
O474137,C00294,P0011,5,8.49,2025-07-06,Delayed,Bank Transfer,South,0.1,38.21,Kitchen,Male,West,Gold
O885631,C00192,P0006,5,39.56,2025-07-06,Delivered,Credit Card,South,0.1,178.02,Cleaning,Female,West,Gold
O102812,C00253,P0006,4,32.3,2025-07-06,Delayed,Credit Card,South,0.15,109.82,Cleaning,Male,East,Gold
O482836,C00469,P0013,2,41.1,2025-07-06,Delivered,Credit Card,North,0.1,73.98,Cleaning,Female,North,Silver
O428722,C00140,P0007,5,19.94,2025-07-06,Delivered,Bank Transfer,North,0.15,84.74,Personal Care,Female,South,Silver
O515257,C00441,P0013,3,11.13,2025-07-06,Delayed,Credit Card,West,0.0,33.39,Cleaning,Female,South,Bronze
O169645,C00449,P0003,2,13.32,2025-07-06,Delivered,Credit Card,West,0.1,23.98,Cleaning,Female,East,Silver
O729478,C00284,P0001,1,23.24,2025-07-06,Delivered,Bank Transfer,South,0.1,20.92,Storage,Male,East,Gold
O231230,C00358,P0017,3,25.67,2025-07-06,Delayed,Bank Transfer,West,0.1,69.31,Personal Care,Female,West,Gold
O534353,C00198,P0013,4,29.21,2025-07-06,Delayed,Bank Transfer,South,0.15,99.31,Cleaning,Male,West,Gold
O636501,C00234,P0021,3,25.83,2025-07-06,Delayed,Credit Card,North,0.05,73.62,Kitchen,Other,Central,Gold
O259057,C00233,P0013,3,25.26,2025-07-06,Delayed,PayPal,East,0.2,60.62,Cleaning,Other,Central,Silver
O131413,C00119,P0020,5,32.94,2025-07-06,Delayed,Bank Transfer,North,0.1,148.23,Cleaning,Female,South,Silver
O544778,C00498,P0001,2,45.51,2025-07-06,Cancelled,Bank Transfer,West,0.0,91.02,Storage,Male,South,Silver
O789755,C00330,P0013,2,11.44,2025-07-06,Delivered,PayPal,South,0.05,21.74,Cleaning,Other,West,Bronze
O415841,C00015,P0009,4,46.87,2025-07-06,Delayed,PayPal,South,0.1,168.73,Outdoors,Female,Central,Bronze
O846865,C00191,P0027,4,47.47,2025-07-06,Delivered,Bank Transfer,East,0.0,189.88,Outdoors,Other,East,Silver
O672067,C00060,P0025,1,11.43,2025-07-06,Delayed,Credit Card,Central,0.05,10.86,Cleaning,Male,West,Gold
O508175,C00440,P0008,2,47.33,2025-07-06,Delivered,Credit Card,North,0.2,75.73,Storage,Other,North,Gold
O394184,C00296,P0006,3,27.33,2025-07-06,Cancelled,PayPal,North,0.15,69.69,Cleaning,Male,East,Gold
O609836,C00297,P0013,2,35.57,2025-07-06,Delayed,Credit Card,East,0.05,67.58,Cleaning,Other,South,Silver
O448033,C00276,P0026,2,27.52,2025-07-06,Cancelled,Credit Card,West,0.1,49.54,Storage,Female,West,Gold
O463527,C00414,P0026,5,38.82,2025-07-06,Delivered,Bank Transfer,East,0.0,194.1,Storage,Male,South,Gold
O688564,C00064,P0007,3,47.27,2025-07-06,Delayed,PayPal,West,0.1,127.63,Personal Care,Female,Central,Gold
O542189,C00254,P0019,2,11.68,2025-07-06,Delayed,Credit Card,Central,0.15,19.86,Kitchen,Unknown,Unknown,Unknown
O600845,C00423,P0015,2,21.16,2025-07-06,Delivered,PayPal,North,0.1,38.09,Storage,Male,East,Bronze
O893072,C00127,P0028,4,47.02,2025-07-06,Delivered,Bank Transfer,Central,0.1,169.27,Outdoors,Female,East,Silver
O545533,C00184,P0006,2,25.85,2025-07-06,Delayed,Credit Card,South,0.0,51.7,Cleaning,Female,North,Silver
O502404,C00180,P0014,4,32.13,2025-07-06,Delayed,Credit Card,West,0.2,102.82,Outdoors,Other,West,Gold
O864368,C00286,P0027,2,46.66,2025-07-06,Delayed,PayPal,East,0.0,93.32,Outdoors,Female,South,Bronze
O360765,C00358,P0021,3,46.79,2025-07-06,Cancelled,PayPal,South,0.1,126.33,Kitchen,Female,West,Gold
O509053,C00319,P0017,5,11.11,2025-07-06,Delivered,Bank Transfer,North,0.05,52.77,Personal Care,Male,West,Gold
O342273,C00411,P0030,4,27.27,2025-07-06,Delivered,PayPal,Central,0.1,98.17,Cleaning,Male,East,Gold
O905284,C00324,P0007,2,36.55,2025-07-06,Delayed,PayPal,East,0.2,58.48,Personal Care,Female,Central,Gold
O871459,C00131,P0024,5,27.28,2025-07-06,Delayed,PayPal,North,0.1,122.76,Storage,Male,Central,Gold
O383252,C00496,P0017,4,27.08,2025-07-06,Delayed,Credit Card,North,0.0,108.32,Personal Care,Female,Central,Gold
O364299,C00067,P0020,2,13.06,2025-07-06,Cancelled,Bank Transfer,North,0.2,20.9,Cleaning,Other,Central,Silver
O110354,C00010,P0026,1,11.32,2025-07-06,Delivered,Bank Transfer,South,0.15,9.62,Storage,Male,East,Gold
O341129,C00154,P0006,2,21.98,2025-07-06,Cancelled,Credit Card,East,0.05,41.76,Cleaning,Other,East,Bronze
O192178,C00259,P0018,5,9.66,2025-07-06,Delivered,PayPal,South,0.0,48.3,Storage,Female,West,Gold
O516591,C00095,P0010,4,41.56,2025-07-06,Delivered,Credit Card,East,0.15,141.3,Cleaning,Male,Unknown,Gold
O884667,C00250,P0018,5,31.78,2025-07-06,Delayed,Credit Card,South,0.05,150.96,Storage,Female,West,Gold
O484212,C00360,P0030,1,22.41,2025-07-06,Delivered,Bank Transfer,North,0.2,17.93,Cleaning,Other,East,Silver
O977187,C00429,P0013,4,46.24,2025-07-06,Delivered,Credit Card,North,0.15,157.22,Cleaning,Female,Central,Bronze
O975068,C00074,P0011,1,17.2,2025-07-06,Delivered,Credit Card,Central,0.1,15.48,Kitchen,Male,North,Bronze
O803932,C00094,P0003,3,23.27,2025-07-06,Delayed,Bank Transfer,North,0.1,62.83,Cleaning,Female,Central,Silver
O186024,C00161,P0012,2,34.01,2025-07-06,Delayed,Credit Card,Central,0.1,61.22,Cleaning,Other,West,Silver
O186250,C00329,P0021,4,44.31,2025-07-06,Delayed,PayPal,South,0.2,141.79,Kitchen,Female,South,Gold
O612237,C00407,P0010,2,40.65,2025-07-06,Delivered,Bank Transfer,Central,0.2,65.04,Cleaning,Female,East,Gold
O253815,C00285,P0024,5,22.17,2025-07-06,Delivered,PayPal,South,0.1,99.77,Storage,Male,Central,Bronze
O749429,C00335,P0027,5,10.11,2025-07-06,Delivered,PayPal,Central,0.15,42.97,Outdoors,Male,South,Gold
O483354,C00329,P0029,3,40.29,2025-07-06,Delayed,PayPal,East,0.0,120.87,Cleaning,Female,South,Gold
O180836,C00351,P0022,4,30.13,2025-07-06,Delivered,Credit Card,South,0.2,96.42,Cleaning,Female,South,Gold
O419728,C00359,P0011,5,13.85,2025-07-06,Delivered,Credit Card,Central,0.05,65.79,Kitchen,Male,West,Gold
O116986,C00157,P0030,2,44.4,2025-07-06,Delivered,Credit Card,West,0.05,84.36,Cleaning,Female,South,Silver
O139338,C00104,P0010,3,40.22,2025-07-06,Delivered,Bank Transfer,South,0.0,120.66,Cleaning,Female,West,Silver
O689360,C00365,P0009,2,35.28,2025-07-06,Cancelled,PayPal,Central,0.1,63.5,Outdoors,Male,West,Silver
O550663,C00095,P0028,2,44.9,2025-07-06,Delivered,PayPal,East,0.05,85.31,Outdoors,Male,Unknown,Gold
O455530,C00113,P0005,5,41.73,2025-07-06,Delayed,PayPal,East,0.05,198.22,Personal Care,Female,North,Gold
O269928,C00455,P0027,2,20.45,2025-07-06,Delayed,Bank Transfer,South,0.05,38.85,Outdoors,Male,South,Silver
O595368,C00123,P0022,2,43.88,2025-07-06,Delivered,Credit Card,North,0.1,78.98,Cleaning,Female,Central,Gold
O729784,C00162,P0001,2,22.06,2025-07-06,Cancelled,Bank Transfer,West,0.1,39.71,Storage,Female,West,Silver
