customer_id,total_spent,avg_order_value,num_purchases,total_quantity,has_discount,days_since_first_purchase,days_since_last_purchase,purchase_frequency,preferred_category,gender,customer_region,loyalty_tier
C00028,689.06,62.64,11,27,1,0,0,0.0,Cleaning,Female,North,Gold
C00029,357.43,59.57,6,16,1,0,0,0.0,Cleaning,Male,North,Silver
C00030,332.65,66.53,5,13,1,0,0,0.0,Personal Care,Male,North,Gold
C00031,342.77,68.55,5,11,1,0,0,0.0,Cleaning,Female,Central,Gold
C00032,704.91,100.7,7,25,1,0,0,0.0,Cleaning,Female,East,Gold
C00033,617.15,88.16,7,19,1,0,0,0.0,Outdoors,Other,North,Gold
C00034,673.0,96.14,7,24,1,0,0,0.0,Cleaning,Female,Central,Gold
C00035,347.12,57.85,6,14,1,0,0,0.0,Storage,Other,South,Silver
C00036,49.06,49.06,1,1,0,0,0,0.0,Outdoors,Male,West,Bronze
C00037,634.18,79.27,8,22,1,0,0,0.0,Kitchen,Female,East,Gold
C00038,615.17,102.53,6,17,1,0,0,0.0,Cleaning,Female,East,Gold
C00039,545.83,68.23,8,28,1,0,0,0.0,Cleaning,Other,South,Silver
C00040,1066.32,96.94,11,37,1,0,0,0.0,Cleaning,Female,East,Gold
C00041,490.93,81.82,6,15,1,0,0,0.0,Kitchen,Male,North,Bronze
C00042,71.28,71.28,1,3,1,0,0,0.0,Outdoors,Female,West,Bronze
C00043,391.43,78.29,5,17,1,0,0,0.0,Cleaning,Female,East,Silver
C00044,422.12,84.42,5,14,1,0,0,0.0,Outdoors,Female,Central,Gold
C00045,365.24,60.87,6,17,1,0,0,0.0,Storage,Female,West,Bronze
C00046,226.69,113.34,2,6,1,0,0,0.0,Storage,Male,North,Bronze
C00047,40.48,20.24,2,3,1,0,0,0.0,Personal Care,Female,West,Bronze
C00048,279.88,69.97,4,10,1,0,0,0.0,Cleaning,Female,East,Gold
C00049,342.14,85.54,4,13,1,0,0,0.0,Kitchen,Male,South,Gold
C00050,898.23,81.66,11,35,1,0,0,0.0,Outdoors,Female,West,Bronze
C00051,496.57,62.07,8,18,1,0,0,0.0,Personal Care,Female,East,Gold
C00052,199.76,99.88,2,10,1,0,0,0.0,Cleaning,Female,East,Gold
C00053,433.26,72.21,6,14,1,0,0,0.0,Cleaning,Female,North,Gold
C00054,445.93,74.32,6,18,1,0,0,0.0,Outdoors,Female,East,Silver
C00055,421.7,105.42,4,14,1,0,0,0.0,Cleaning,Female,North,Gold
C00056,429.2,71.53,6,15,1,0,0,0.0,Cleaning,Male,South,Bronze
C00057,266.68,53.34,5,12,1,0,0,0.0,Storage,Male,Central,Gold
C00058,306.75,61.35,5,14,1,0,0,0.0,Cleaning,Male,West,Gold
C00059,662.42,82.8,8,24,1,0,0,0.0,Cleaning,Female,West,Bronze
C00060,440.23,73.37,6,14,1,0,0,0.0,Outdoors,Male,West,Gold
C00061,439.99,73.33,6,15,1,0,0,0.0,Outdoors,Female,North,Gold
C00062,1175.76,83.98,14,45,1,0,0,0.0,Cleaning,Male,West,Gold
C00063,306.44,51.07,6,15,1,0,0,0.0,Kitchen,Male,North,Gold
C00064,499.82,71.4,7,17,1,0,0,0.0,Kitchen,Female,Central,Gold
C00065,757.05,94.63,8,30,1,0,0,0.0,Cleaning,Male,North,Gold
C00066,381.88,76.38,5,15,1,0,0,0.0,Cleaning,Other,South,Gold
C00067,666.42,66.64,10,29,1,0,0,0.0,Outdoors,Other,Central,Silver
C00068,376.25,62.71,6,13,1,0,0,0.0,Cleaning,Female,East,Gold
C00069,609.25,101.54,6,20,1,0,0,0.0,Cleaning,Female,North,Gold
C00070,266.42,33.3,8,19,1,0,0,0.0,Cleaning,Male,Central,Gold
C00071,215.05,35.84,6,11,1,0,0,0.0,Cleaning,Male,Central,Gold
C00072,547.92,109.58,5,18,1,0,0,0.0,Cleaning,Female,East,Gold
C00073,339.44,67.89,5,14,1,0,0,0.0,Cleaning,Female,North,Silver
C00074,841.52,93.5,9,26,1,0,0,0.0,Outdoors,Male,North,Bronze
C00075,177.55,88.78,2,7,1,0,0,0.0,Kitchen,Other,North,Gold
C00076,314.4,62.88,5,16,1,0,0,0.0,Cleaning,Female,North,Gold
C00077,552.1,78.87,7,24,1,0,0,0.0,Cleaning,Female,Central,Gold
C00078,505.41,101.08,5,17,1,0,0,0.0,Cleaning,Male,West,Gold
C00079,557.49,92.92,6,19,1,0,0,0.0,Outdoors,Female,North,Bronze
C00080,721.2,90.15,8,23,1,0,0,0.0,Cleaning,Female,North,Bronze
C00081,241.01,120.5,2,8,1,0,0,0.0,Outdoors,Female,Central,Gold
C00082,403.9,80.78,5,14,1,0,0,0.0,Cleaning,Female,North,Gold
C00083,381.13,95.28,4,16,1,0,0,0.0,Storage,Female,Central,Silver
C00084,676.57,112.76,6,22,1,0,0,0.0,Outdoors,Female,West,Gold
C00085,390.48,97.62,4,12,1,0,0,0.0,Cleaning,Male,South,Gold
C00086,326.11,81.53,4,20,1,0,0,0.0,Kitchen,Male,East,Bronze
C00087,760.25,95.03,8,31,1,0,0,0.0,Outdoors,Female,North,Bronze
C00088,305.71,61.14,5,14,1,0,0,0.0,Cleaning,Male,West,Bronze
C00089,273.89,68.47,4,12,1,0,0,0.0,Personal Care,Male,West,Silver
C00090,356.97,118.99,3,13,1,0,0,0.0,Cleaning,Female,East,Unknown
C00091,518.67,86.44,6,19,1,0,0,0.0,Cleaning,Male,West,Silver
C00092,438.91,87.78,5,15,1,0,0,0.0,Outdoors,Male,East,Gold
C00093,523.76,87.29,6,15,1,0,0,0.0,Cleaning,Male,Central,Gold
C00094,462.36,66.05,7,22,1,0,0,0.0,Cleaning,Female,Central,Silver
C00095,612.8,87.54,7,21,1,0,0,0.0,Cleaning,Male,Unknown,Gold
C00096,69.21,34.61,2,3,1,0,0,0.0,Cleaning,Other,South,Gold
C00097,411.19,82.24,5,22,1,0,0,0.0,Cleaning,Female,East,Silver
C00098,910.5,113.81,8,30,1,0,0,0.0,Cleaning,Female,East,Gold
C00099,370.12,74.02,5,20,1,0,0,0.0,Cleaning,Female,South,Gold
C00100,727.02,121.17,6,24,1,0,0,0.0,Cleaning,Male,South,Gold
C00101,119.58,59.79,2,6,1,0,0,0.0,Outdoors,Male,West,Bronze
C00102,77.06,38.53,2,3,1,0,0,0.0,Cleaning,Male,East,Bronze
C00103,649.68,108.28,6,20,1,0,0,0.0,Storage,Male,Central,Gold
C00104,1181.68,131.3,9,31,1,0,0,0.0,Cleaning,Female,West,Silver
C00105,177.17,88.58,2,8,1,0,0,0.0,Cleaning,Male,West,Gold
C00106,520.34,86.72,6,22,1,0,0,0.0,Cleaning,Female,East,Gold
C00107,316.16,63.23,5,14,1,0,0,0.0,Storage,Female,North,Silver
C00108,1525.24,117.33,13,50,1,0,0,0.0,Cleaning,Female,West,Bronze
C00109,649.4,81.18,8,21,1,0,0,0.0,Cleaning,Other,East,Bronze
C00110,1002.25,100.22,10,35,1,0,0,0.0,Cleaning,Female,South,Gold
C00111,248.06,82.69,3,11,1,0,0,0.0,Kitchen,Other,East,Silver
C00112,259.23,64.81,4,12,1,0,0,0.0,Cleaning,Male,North,Bronze
C00113,852.27,85.23,10,35,1,0,0,0.0,Cleaning,Female,North,Gold
C00114,439.88,109.97,4,17,1,0,0,0.0,Cleaning,Male,North,Bronze
C00115,392.98,65.5,6,16,1,0,0,0.0,Cleaning,Male,South,Bronze
C00116,302.47,50.41,6,18,1,0,0,0.0,Cleaning,Female,East,Silver
C00117,271.96,67.99,4,9,1,0,0,0.0,Storage,Female,North,Silver
C00118,589.54,65.5,9,23,1,0,0,0.0,Outdoors,Male,East,Silver
C00119,480.68,96.14,5,18,1,0,0,0.0,Cleaning,Female,South,Silver
C00120,737.98,92.25,8,24,1,0,0,0.0,Cleaning,Female,West,Gold
C00121,307.63,61.53,5,14,1,0,0,0.0,Cleaning,Female,West,Gold
C00122,174.31,58.1,3,8,1,0,0,0.0,Cleaning,Female,Central,Gold
C00123,387.85,77.57,5,16,1,0,0,0.0,Outdoors,Female,Central,Gold
C00124,222.41,55.6,4,11,1,0,0,0.0,Kitchen,Female,North,Gold
C00125,548.65,109.73,5,17,1,0,0,0.0,Personal Care,Female,South,Gold
C00126,662.38,66.24,10,24,1,0,0,0.0,Cleaning,Female,West,Silver
C00127,302.45,100.82,3,9,1,0,0,0.0,Outdoors,Female,East,Silver
C00128,74.92,24.97,3,5,1,0,0,0.0,Cleaning,Male,East,Silver
C00129,394.62,65.77,6,15,1,0,0,0.0,Storage,Female,West,Gold
C00130,371.29,92.82,4,13,1,0,0,0.0,Cleaning,Female,South,Gold
C00131,686.89,114.48,6,26,1,0,0,0.0,Storage,Male,Central,Gold
C00132,348.66,87.16,4,14,1,0,0,0.0,Cleaning,Female,South,Bronze
C00133,296.42,74.1,4,9,1,0,0,0.0,Storage,Female,Central,Bronze
C00134,165.11,82.56,2,7,1,0,0,0.0,Cleaning,Male,South,Gold
C00135,195.93,195.93,1,5,1,0,0,0.0,Cleaning,Male,East,Silver
C00136,490.7,61.34,8,27,1,0,0,0.0,Cleaning,Male,Central,Gold
C00137,744.29,82.7,9,29,1,0,0,0.0,Cleaning,Female,North,Bronze
C00138,824.52,82.45,10,29,1,0,0,0.0,Cleaning,Female,East,Gold
C00139,604.23,75.53,8,26,1,0,0,0.0,Cleaning,Other,Central,Bronze
C00140,557.77,79.68,7,21,1,0,0,0.0,Storage,Female,South,Silver
C00141,413.38,82.68,5,15,1,0,0,0.0,Cleaning,Female,Central,Gold
C00142,132.74,26.55,5,10,1,0,0,0.0,Storage,Other,East,Bronze
C00143,507.07,63.38,8,19,1,0,0,0.0,Cleaning,Other,Central,Gold
C00144,679.95,113.32,6,26,1,0,0,0.0,Cleaning,Female,East,Gold
C00145,509.97,63.75,8,16,1,0,0,0.0,Storage,Male,Central,Bronze
C00146,528.48,105.7,5,15,1,0,0,0.0,Kitchen,Female,East,Silver
C00147,273.45,54.69,5,10,1,0,0,0.0,Cleaning,Male,East,Gold
C00148,555.02,92.5,6,16,1,0,0,0.0,Outdoors,Male,West,Gold
C00149,452.47,64.64,7,21,1,0,0,0.0,Cleaning,Male,East,Gold
C00150,189.58,37.92,5,12,1,0,0,0.0,Storage,Female,West,Bronze
C00151,744.41,93.05,8,31,1,0,0,0.0,Cleaning,Female,Central,Gold
C00152,303.88,43.41,7,14,1,0,0,0.0,Cleaning,Other,North,Silver
C00153,374.65,93.66,4,12,1,0,0,0.0,Storage,Male,West,Gold
C00154,189.64,47.41,4,7,1,0,0,0.0,Outdoors,Other,East,Bronze
C00155,457.85,91.57,5,15,1,0,0,0.0,Cleaning,Male,South,Gold
C00156,227.92,56.98,4,12,1,0,0,0.0,Kitchen,Female,South,Bronze
C00157,480.26,68.61,7,15,1,0,0,0.0,Outdoors,Female,South,Silver
C00158,384.1,48.01,8,15,1,0,0,0.0,Kitchen,Other,East,Bronze
C00159,395.33,56.48,7,12,1,0,0,0.0,Kitchen,Male,West,Bronze
C00160,601.37,85.91,7,25,1,0,0,0.0,Cleaning,Other,Central,Gold
C00161,478.78,68.4,7,18,1,0,0,0.0,Cleaning,Other,West,Silver
C00162,348.5,49.79,7,16,1,0,0,0.0,Cleaning,Female,West,Silver
C00163,437.47,87.49,5,12,1,0,0,0.0,Cleaning,Female,Unknown,Silver
C00164,313.56,62.71,5,16,1,0,0,0.0,Cleaning,Male,Central,Gold
C00165,194.31,64.77,3,9,1,0,0,0.0,Storage,Male,Central,Gold
C00166,124.36,24.87,5,8,1,0,0,0.0,Kitchen,Female,North,Gold
C00167,624.27,89.18,7,26,1,0,0,0.0,Cleaning,Female,Central,Gold
C00168,602.2,100.37,6,26,1,0,0,0.0,Storage,Female,South,Bronze
C00169,368.21,52.6,7,17,1,0,0,0.0,Cleaning,Female,East,Gold
C00170,277.74,39.68,7,14,1,0,0,0.0,Outdoors,Male,West,Gold
C00171,423.05,52.88,8,17,1,0,0,0.0,Storage,Male,Central,Silver
C00172,502.76,125.69,4,16,1,0,0,0.0,Personal Care,Female,East,Bronze
C00173,621.52,69.06,9,27,1,0,0,0.0,Cleaning,Female,West,Gold
C00174,1016.94,92.45,11,42,1,0,0,0.0,Cleaning,Other,South,Bronze
C00175,435.92,87.18,5,14,1,0,0,0.0,Cleaning,Male,North,Bronze
C00176,414.3,59.19,7,16,1,0,0,0.0,Storage,Other,South,Bronze
C00177,279.02,55.8,5,13,1,0,0,0.0,Cleaning,Female,West,Gold
C00178,377.62,94.4,4,17,1,0,0,0.0,Storage,Female,North,Silver
C00179,865.39,96.15,9,27,1,0,0,0.0,Storage,Female,South,Gold
C00180,921.78,92.18,10,37,1,0,0,0.0,Cleaning,Other,West,Gold
C00181,364.42,72.88,5,15,1,0,0,0.0,Cleaning,Other,South,Bronze
C00182,228.95,57.24,4,9,1,0,0,0.0,Cleaning,Other,South,Gold
C00183,260.96,37.28,7,13,1,0,0,0.0,Personal Care,Female,South,Gold
C00184,301.18,60.24,5,10,1,0,0,0.0,Outdoors,Female,North,Silver
C00185,653.71,81.71,8,26,1,0,0,0.0,Storage,Male,East,Silver
C00186,347.0,86.75,4,17,1,0,0,0.0,Cleaning,Female,North,Silver
C00187,379.45,126.48,3,12,1,0,0,0.0,Cleaning,Female,Central,Gold
C00188,247.63,82.54,3,9,1,0,0,0.0,Kitchen,Female,East,Gold
C00189,685.94,85.74,8,26,1,0,0,0.0,Cleaning,Male,North,Bronze
C00190,970.5,107.83,9,27,1,0,0,0.0,Cleaning,Male,Central,Gold
C00191,1143.25,114.32,10,35,1,0,0,0.0,Storage,Other,East,Silver
C00192,1128.09,102.55,11,39,1,0,0,0.0,Storage,Female,West,Gold
C00193,759.72,108.53,7,26,1,0,0,0.0,Outdoors,Female,South,Gold
C00194,312.73,62.55,5,14,1,0,0,0.0,Cleaning,Female,Central,Gold
C00195,352.24,70.45,5,17,1,0,0,0.0,Storage,Female,Central,Silver
C00196,474.56,67.79,7,21,1,0,0,0.0,Storage,Female,South,Gold
C00197,468.24,93.65,5,16,1,0,0,0.0,Cleaning,Other,West,Gold
C00198,416.76,69.46,6,15,1,0,0,0.0,Cleaning,Male,West,Gold
C00199,548.01,137.0,4,16,1,0,0,0.0,Cleaning,Female,East,Gold
C00200,526.08,105.22,5,18,1,0,0,0.0,Cleaning,Male,East,Bronze
C00201,272.77,90.92,3,12,1,0,0,0.0,Kitchen,Female,East,Gold
C00202,999.17,99.92,10,29,1,0,0,0.0,Personal Care,Female,Central,Bronze
C00203,287.92,95.97,3,13,1,0,0,0.0,Cleaning,Female,West,Gold
C00204,715.69,89.46,8,30,1,0,0,0.0,Storage,Female,South,Silver
C00205,349.38,87.34,4,13,1,0,0,0.0,Cleaning,Female,East,Silver
C00206,346.6,86.65,4,16,1,0,0,0.0,Cleaning,Other,East,Gold
C00207,365.75,73.15,5,16,1,0,0,0.0,Cleaning,Female,Central,Gold
C00208,784.08,98.01,8,24,1,0,0,0.0,Cleaning,Female,East,Silver
C00209,392.49,78.5,5,13,1,0,0,0.0,Storage,Male,North,Silver
C00210,469.57,117.39,4,14,1,0,0,0.0,Outdoors,Female,North,Silver
C00211,534.19,76.31,7,16,1,0,0,0.0,Cleaning,Male,North,Silver
C00212,421.41,70.24,6,18,1,0,0,0.0,Outdoors,Male,West,Gold
C00213,273.69,68.42,4,11,1,0,0,0.0,Cleaning,Female,South,Bronze
C00214,185.06,46.26,4,9,1,0,0,0.0,Cleaning,Other,East,Gold
C00215,449.88,74.98,6,17,1,0,0,0.0,Cleaning,Male,North,Gold
C00216,832.36,118.91,7,23,1,0,0,0.0,Personal Care,Male,South,Bronze
C00217,374.87,74.97,5,13,1,0,0,0.0,Kitchen,Female,South,Bronze
C00218,65.25,32.62,2,4,1,0,0,0.0,Personal Care,Female,West,Bronze
C00219,329.85,65.97,5,17,1,0,0,0.0,Cleaning,Female,South,Silver
C00220,568.96,142.24,4,16,1,0,0,0.0,Kitchen,Female,East,Gold
C00221,870.46,108.81,8,31,1,0,0,0.0,Cleaning,Female,West,Silver
C00222,840.23,120.03,7,30,1,0,0,0.0,Cleaning,Female,East,Silver
C00223,609.87,101.64,6,23,1,0,0,0.0,Personal Care,Female,South,Gold
C00224,586.5,83.79,7,22,1,0,0,0.0,Cleaning,Female,West,Gold
C00225,397.06,66.18,6,16,1,0,0,0.0,Cleaning,Female,South,Gold
C00226,653.9,81.74,8,21,1,0,0,0.0,Storage,Male,East,Gold
C00227,415.25,83.05,5,13,1,0,0,0.0,Kitchen,Male,East,Bronze
C00228,533.83,88.97,6,17,1,0,0,0.0,Kitchen,Male,North,Silver
C00229,83.3,27.77,3,7,1,0,0,0.0,Outdoors,Female,South,Bronze
C00230,354.5,88.62,4,14,1,0,0,0.0,Cleaning,Other,South,Bronze
C00231,220.42,55.1,4,9,1,0,0,0.0,Cleaning,Male,Central,Silver
C00232,413.65,137.88,3,11,1,0,0,0.0,Cleaning,Male,Central,Gold
C00233,528.26,58.7,9,21,1,0,0,0.0,Cleaning,Other,Central,Silver
C00234,400.32,66.72,6,14,1,0,0,0.0,Cleaning,Other,Central,Gold
C00235,186.07,62.02,3,8,1,0,0,0.0,Storage,Other,South,Silver
C00236,486.99,97.4,5,22,1,0,0,0.0,Cleaning,Other,North,Gold
C00237,297.41,59.48,5,11,1,0,0,0.0,Cleaning,Female,South,Bronze
C00238,267.07,38.15,7,17,1,0,0,0.0,Kitchen,Male,South,Silver
C00239,302.06,100.69,3,8,1,0,0,0.0,Outdoors,Female,South,Bronze
C00240,795.3,132.55,6,20,1,0,0,0.0,Personal Care,Female,North,Silver
C00241,169.47,169.47,1,5,1,0,0,0.0,Storage,Female,West,Gold
C00242,129.46,64.73,2,5,1,0,0,0.0,Storage,Female,West,Bronze
C00243,525.35,105.07,5,19,1,0,0,0.0,Kitchen,Other,West,Silver
C00244,525.59,87.6,6,19,1,0,0,0.0,Storage,Male,West,Bronze
C00245,781.49,65.12,12,33,1,0,0,0.0,Storage,Male,North,Gold
C00246,454.01,64.86,7,19,1,0,0,0.0,Cleaning,Male,South,Gold
C00247,362.29,90.57,4,16,1,0,0,0.0,Cleaning,Female,East,Silver
C00248,453.34,64.76,7,18,1,0,0,0.0,Cleaning,Female,West,Gold
C00249,665.28,95.04,7,27,1,0,0,0.0,Storage,Male,South,Gold
C00250,254.07,127.04,2,8,1,0,0,0.0,Storage,Female,West,Gold
C00251,994.72,110.52,9,34,1,0,0,0.0,Cleaning,Male,North,Gold
C00252,295.16,73.79,4,15,1,0,0,0.0,Cleaning,Unknown,North,Bronze
C00253,408.85,81.77,5,21,1,0,0,0.0,Cleaning,Male,East,Gold
C00254,304.45,50.74,6,13,1,0,0,0.0,Personal Care,Unknown,Unknown,Unknown
C00255,255.97,63.99,4,11,1,0,0,0.0,Kitchen,Female,North,Gold
C00256,790.8,79.08,10,27,1,0,0,0.0,Cleaning,Female,East,Gold
C00257,374.73,53.53,7,24,1,0,0,0.0,Cleaning,Female,South,Gold
C00258,500.57,83.43,6,17,1,0,0,0.0,Storage,Female,East,Bronze
C00259,465.52,66.5,7,21,1,0,0,0.0,Storage,Female,West,Gold
C00260,87.29,43.64,2,6,1,0,0,0.0,Kitchen,Other,East,Silver
C00261,162.76,40.69,4,10,1,0,0,0.0,Outdoors,Female,Central,Gold
C00262,782.03,86.89,9,29,1,0,0,0.0,Cleaning,Female,South,Gold
C00263,326.0,81.5,4,9,1,0,0,0.0,Kitchen,Male,Central,Gold
C00264,399.83,79.97,5,14,1,0,0,0.0,Cleaning,Female,Central,Bronze
C00265,353.73,39.3,9,25,1,0,0,0.0,Storage,Male,West,Gold
C00266,109.71,109.71,1,3,0,0,0,0.0,Cleaning,Male,South,Silver
C00267,290.63,72.66,4,12,1,0,0,0.0,Outdoors,Male,West,Bronze
C00268,196.99,98.5,2,8,0,0,0,0.0,Kitchen,Male,East,Silver
C00269,240.5,60.12,4,9,1,0,0,0.0,Cleaning,Male,Central,Gold
C00270,655.48,93.64,7,22,1,0,0,0.0,Kitchen,Male,North,Silver
C00271,284.64,71.16,4,9,1,0,0,0.0,Storage,Female,West,Silver
C00272,465.24,77.54,6,19,1,0,0,0.0,Cleaning,Female,South,Silver
C00273,424.26,70.71,6,18,1,0,0,0.0,Storage,Male,Central,Gold
C00274,400.22,80.04,5,12,1,0,0,0.0,Personal Care,Female,South,Gold
C00275,299.52,49.92,6,15,1,0,0,0.0,Cleaning,Other,West,Gold
C00276,365.46,60.91,6,17,1,0,0,0.0,Cleaning,Female,West,Gold
C00277,325.17,46.45,7,20,1,0,0,0.0,Cleaning,Female,South,Gold
C00278,274.28,68.57,4,11,1,0,0,0.0,Outdoors,Female,Central,Bronze
C00279,128.69,32.17,4,9,1,0,0,0.0,Storage,Other,West,Gold
C00280,120.77,40.26,3,7,1,0,0,0.0,Cleaning,Male,Central,Gold
C00281,565.63,70.7,8,24,1,0,0,0.0,Cleaning,Other,East,Bronze
C00282,452.6,75.43,6,22,1,0,0,0.0,Outdoors,Male,West,Bronze
C00283,532.24,133.06,4,13,1,0,0,0.0,Storage,Female,East,Gold
C00284,317.34,63.47,5,13,1,0,0,0.0,Storage,Male,East,Gold
C00285,250.57,62.64,4,13,1,0,0,0.0,Storage,Male,Central,Bronze
C00286,365.39,60.9,6,15,1,0,0,0.0,Cleaning,Female,South,Bronze
C00287,539.98,77.14,7,19,1,0,0,0.0,Storage,Female,South,Gold
C00288,327.76,81.94,4,12,1,0,0,0.0,Storage,Other,North,Bronze
C00289,816.28,102.04,8,30,1,0,0,0.0,Cleaning,Female,West,Gold
C00290,450.85,90.17,5,15,1,0,0,0.0,Storage,Male,South,Gold
C00291,404.67,50.58,8,16,1,0,0,0.0,Cleaning,Other,East,Gold
C00292,433.8,72.3,6,18,1,0,0,0.0,Storage,Female,Central,Gold
C00293,323.39,107.8,3,15,1,0,0,0.0,Cleaning,Female,South,Silver
C00294,905.23,69.63,13,35,1,0,0,0.0,Cleaning,Male,West,Gold
C00295,520.81,86.8,6,19,1,0,0,0.0,Outdoors,Other,North,Bronze
C00296,743.02,82.56,9,26,1,0,0,0.0,Outdoors,Male,East,Gold
C00297,413.55,59.08,7,16,1,0,0,0.0,Kitchen,Other,South,Silver
C00298,420.69,84.14,5,14,1,0,0,0.0,Cleaning,Female,East,Bronze
C00299,416.58,59.51,7,16,1,0,0,0.0,Cleaning,Unknown,Central,Silver
C00300,201.57,50.39,4,9,1,0,0,0.0,Cleaning,Female,East,Bronze
C00301,1134.96,126.11,9,37,1,0,0,0.0,Outdoors,Female,Central,Gold
C00302,251.13,62.78,4,9,1,0,0,0.0,Storage,Male,South,Silver
C00303,686.51,76.28,9,28,1,0,0,0.0,Cleaning,Other,Central,Bronze
C00304,198.97,99.48,2,5,1,0,0,0.0,Kitchen,Male,East,Gold
C00305,136.54,34.14,4,7,1,0,0,0.0,Storage,Male,Central,Silver
C00306,238.48,39.75,6,12,1,0,0,0.0,Cleaning,Female,Central,Gold
C00307,440.41,146.8,3,14,1,0,0,0.0,Storage,Male,South,Bronze
C00308,265.2,88.4,3,11,1,0,0,0.0,Cleaning,Other,East,Bronze
C00309,207.42,41.48,5,13,1,0,0,0.0,Storage,Other,South,Bronze
C00310,840.51,120.07,7,27,1,0,0,0.0,Kitchen,Female,West,Gold
C00311,633.83,90.55,7,21,1,0,0,0.0,Cleaning,Male,North,Gold
C00312,704.46,100.64,7,23,1,0,0,0.0,Cleaning,Other,North,Gold
C00313,366.92,36.69,10,22,1,0,0,0.0,Cleaning,Male,East,Bronze
C00314,514.7,73.53,7,19,1,0,0,0.0,Cleaning,Female,South,Gold
C00315,153.91,51.3,3,7,1,0,0,0.0,Outdoors,Other,South,Gold
C00316,259.7,43.28,6,12,1,0,0,0.0,Storage,Female,South,Gold
C00317,647.76,80.97,8,27,1,0,0,0.0,Outdoors,Female,South,Gold
C00318,354.17,44.27,8,19,1,0,0,0.0,Cleaning,Female,West,Gold
C00319,668.07,66.81,10,31,1,0,0,0.0,Storage,Male,West,Gold
C00320,333.42,66.68,5,15,1,0,0,0.0,Cleaning,Female,Central,Bronze
C00321,982.79,98.28,10,33,1,0,0,0.0,Cleaning,Male,West,Silver
C00322,913.44,101.49,9,34,1,0,0,0.0,Cleaning,Male,South,Gold
C00323,262.64,43.77,6,13,1,0,0,0.0,Outdoors,Other,South,Bronze
C00324,747.23,83.03,9,28,1,0,0,0.0,Storage,Female,Central,Gold
C00325,655.56,81.94,8,24,1,0,0,0.0,Cleaning,Male,West,Bronze
C00326,475.36,67.91,7,16,1,0,0,0.0,Cleaning,Female,East,Gold
C00327,816.79,90.75,9,24,1,0,0,0.0,Cleaning,Male,East,Bronze
C00328,658.9,73.21,9,25,1,0,0,0.0,Cleaning,Female,Central,Gold
C00329,1004.81,100.48,10,34,1,0,0,0.0,Kitchen,Female,South,Gold
C00330,839.18,76.29,11,33,1,0,0,0.0,Cleaning,Other,West,Bronze
C00331,702.65,63.88,11,30,1,0,0,0.0,Cleaning,Female,West,Gold
C00332,227.6,56.9,4,9,1,0,0,0.0,Personal Care,Male,East,Silver
C00333,312.81,104.27,3,10,1,0,0,0.0,Storage,Female,South,Bronze
C00334,742.72,106.1,7,25,1,0,0,0.0,Cleaning,Female,South,Gold
C00335,855.67,77.79,11,39,1,0,0,0.0,Outdoors,Male,South,Gold
C00336,426.7,71.12,6,16,1,0,0,0.0,Kitchen,Female,East,Silver
